"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
2.5122e+06;-6.23499e-08;-1.14026e-07
2.51953e+06;-1.44921e-09;-5.81949e-08
2.52685e+06;-2.83625e-07;-7.82461e-08
2.53417e+06;9.10694e-08;3.07164e-07
2.5415e+06;2.924e-08;-5.5783e-08
2.54882e+06;2.10191e-07;-5.02655e-08
2.55615e+06;-2.435e-07;-8.73339e-08
2.56347e+06;1.2854e-07;-2.49085e-08
2.5708e+06;-3.71919e-07;2.1771e-07
2.57812e+06;6.9631e-07;6.40414e-08
2.58544e+06;-4.49153e-07;-4.77955e-07
2.59277e+06;-7.63266e-08;3.82602e-07
2.60009e+06;2.93761e-07;6.49033e-08
2.60742e+06;-7.01988e-08;-3.15064e-07
2.61474e+06;-2.80599e-08;6.17901e-08
2.62207e+06;-2.66545e-07;1.00188e-08
2.62939e+06;3.34307e-07;1.89647e-07
2.63671e+06;-2.27927e-07;-3.52788e-07
2.64404e+06;-1.41893e-07;3.93724e-07
2.65136e+06;3.33807e-07;-2.73125e-08
2.65869e+06;-2.19931e-07;-3.30379e-08
2.66601e+06;4.24564e-07;1.08312e-07
2.67333e+06;-1.73124e-07;-4.24875e-07
2.68066e+06;-1.75587e-07;1.24219e-08
2.68798e+06;-2.75292e-07;2.38292e-07
2.69531e+06;3.45282e-07;2.03143e-07
2.70263e+06;-2.78545e-08;-1.45839e-07
2.70996e+06;2.13105e-07;4.44049e-08
2.71728e+06;-2.12749e-07;-3.15516e-07
2.7246e+06;-3.803e-09;3.46528e-07
2.73193e+06;1.09688e-07;-2.88787e-07
2.73925e+06;-2.77334e-07;2.26968e-07
2.74658e+06;4.56624e-07;2.25487e-08
2.7539e+06;-2.72085e-07;-3.73238e-07
2.76122e+06;-1.87372e-07;2.00839e-07
2.76855e+06;7.46229e-08;3.07346e-07
2.77587e+06;3.49029e-07;-1.77734e-07
2.7832e+06;-1.83863e-07;-2.36303e-07
2.79052e+06;-1.10308e-07;1.64943e-07
2.79785e+06;-7.83677e-09;-6.07999e-08
2.80517e+06;1.11608e-07;1.93042e-07
2.81249e+06;-5.27402e-08;-2.63209e-07
2.81982e+06;-5.50995e-08;1.98756e-07
2.82714e+06;1.34202e-07;-5.3592e-08
2.83447e+06;-1.6765e-07;-1.00694e-07
2.84179e+06;5.57447e-08;2.26167e-07
2.84912e+06;1.57035e-07;-5.99846e-08
2.85644e+06;-3.32886e-08;-2.97298e-07
2.86376e+06;-3.46786e-07;2.78268e-07
2.87109e+06;3.62824e-07;8.83893e-08
2.87841e+06;2.22949e-08;-1.65223e-07
2.88574e+06;-1.93135e-07;-1.01374e-07
2.89306e+06;1.4946e-07;1.77178e-07
2.90038e+06;-2.49225e-07;-2.30615e-07
2.90771e+06;1.23637e-07;4.25699e-07
2.91503e+06;1.92629e-07;-2.55607e-07
2.92236e+06;-1.02977e-07;-1.35738e-07
2.92968e+06;-2.44507e-07;9.50171e-08
2.93701e+06;1.50293e-07;2.89294e-07
2.94433e+06;3.61524e-07;-3.07558e-07
2.95165e+06;-6.09338e-07;-1.75777e-07
2.95898e+06;2.02864e-07;5.87618e-07
