"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
1.44287e+06;5.41124e-08;-2.93871e-07
1.45019e+06;-4.78346e-08;3.20352e-07
1.45752e+06;2.76253e-07;-3.52944e-07
1.46484e+06;-3.62612e-07;1.20855e-07
1.47217e+06;2.14133e-07;-7.74417e-08
1.47949e+06;-3.40455e-07;7.80765e-08
1.48681e+06;2.20915e-07;3.89357e-07
1.49414e+06;5.63735e-07;-2.90622e-07
1.50146e+06;-5.05969e-07;-3.98209e-07
1.50879e+06;2.01525e-07;7.22494e-08
1.51611e+06;-7.5465e-07;-6.69669e-08
1.52343e+06;4.14711e-07;7.48415e-07
1.53076e+06;4.6777e-07;-3.88634e-07
1.53808e+06;-3.46019e-07;-4.62464e-07
1.54541e+06;-3.7494e-07;5.67075e-07
1.55273e+06;7.01471e-07;-1.28314e-07
1.56006e+06;-6.06579e-07;-3.02345e-07
1.56738e+06;8.76051e-08;4.58917e-07
1.5747e+06;1.784e-07;9.29596e-08
1.58203e+06;3.52341e-07;-3.41255e-07
1.58935e+06;-5.93287e-07;-6.82151e-08
1.59668e+06;3.53268e-07;3.56712e-07
1.604e+06;7.81979e-08;-3.7797e-07
1.61132e+06;-4.85542e-07;8.21999e-08
1.61865e+06;6.62707e-07;3.57353e-07
1.62597e+06;-4.07202e-07;-7.55752e-07
1.6333e+06;-9.91022e-08;4.81081e-07
1.64062e+06;-6.74874e-08;-5.46318e-08
1.64795e+06;3.35573e-08;2.99566e-07
1.65527e+06;3.26099e-07;-1.01819e-07
1.66259e+06;-1.23233e-07;-8.75107e-09
1.66992e+06;3.36796e-07;-2.09062e-09
1.67724e+06;-1.57968e-07;-7.15368e-07
1.68457e+06;-7.07677e-07;6.27065e-07
1.69189e+06;6.04478e-07;1.81726e-07
1.69922e+06;1.3104e-07;-3.20888e-07
1.70654e+06;-3.57229e-07;-2.26417e-08
1.71386e+06;9.72524e-08;-9.35268e-08
1.72119e+06;-4.40522e-07;5.95236e-07
1.72851e+06;1.09065e-06;-1.35889e-07
1.73584e+06;-5.11668e-07;-5.85336e-07
1.74316e+06;-1.56761e-07;8.00164e-08
1.75048e+06;-2.40679e-07;1.09567e-07
1.75781e+06;-8.98208e-08;5.02687e-07
1.76513e+06;8.02579e-07;-3.52329e-08
1.77246e+06;-3.16692e-07;-4.69942e-07
1.77978e+06;7.37329e-08;5.06592e-08
1.78711e+06;-3.52041e-07;-1.17141e-07
1.79443e+06;1.99987e-08;4.58743e-07
1.80175e+06;4.85719e-07;-2.16613e-07
1.80908e+06;-4.03152e-07;-1.61605e-07
1.8164e+06;1.06703e-07;4.79179e-08
1.82373e+06;-1.33632e-07;1.92583e-07
1.83105e+06;3.09003e-07;6.37813e-09
1.83838e+06;5.68632e-08;-5.50094e-07
1.8457e+06;-7.0079e-07;2.90674e-07
1.85302e+06;1.59614e-07;1.82256e-07
1.86035e+06;3.35256e-07;5.50866e-07
1.86767e+06;3.77752e-07;-8.01973e-07
1.875e+06;-5.54981e-07;-7.77431e-08
1.88232e+06;-1.78528e-07;5.42372e-07
1.88964e+06;7.2175e-07;-6.56405e-08
1.89697e+06;-2.22088e-07;-5.12474e-07
1.90429e+06;-3.44864e-07;3.55531e-08
1.91162e+06;-8.19238e-08;2.04465e-07
1.91894e+06;-2.48701e-08;2.44793e-07
1.92627e+06;3.33734e-07;1.73453e-08
1.93359e+06;-6.25669e-08;-6.78607e-08
1.94091e+06;3.4279e-07;-5.96479e-08
1.94824e+06;-4.16779e-07;-4.40162e-07
1.95556e+06;6.68141e-08;3.48369e-07
1.96289e+06;-4.11688e-07;-2.09863e-07
1.97021e+06;1.10681e-07;7.30343e-07
1.97754e+06;7.67523e-07;-1.38912e-07
1.98486e+06;-2.57522e-07;-6.58093e-07
1.99218e+06;-2.57083e-07;7.59334e-08
1.99951e+06;-1.85764e-07;2.30574e-07
2.00683e+06;1.89499e-07;2.04493e-07
2.01416e+06;3.16594e-07;-3.44119e-07
2.02148e+06;-5.96348e-07;9.32729e-08
2.0288e+06;5.33855e-07;1.43178e-07
2.03613e+06;-3.38322e-07;-2.57637e-07
2.04345e+06;2.11931e-07;1.97739e-07
2.05078e+06;-3.14574e-07;-4.36455e-07
2.0581e+06;-3.65598e-07;9.49517e-07
2.06543e+06;1.33678e-06;-2.53318e-07
2.07275e+06;-9.95998e-07;-6.94241e-07
2.08007e+06;3.37642e-07;7.33282e-07
2.0874e+06;1.61512e-07;-3.5747e-07
2.09472e+06;-1.24962e-08;-3.59673e-07
2.10205e+06;-5.48687e-07;7.10464e-08
2.10937e+06;-4.38979e-08;1.93659e-07
2.11669e+06;-3.75307e-08;5.84838e-07
2.12402e+06;7.57239e-07;-2.61981e-07
2.13134e+06;-3.33993e-07;-3.45829e-07
2.13867e+06;-2.20981e-07;2.07508e-07
2.14599e+06;4.04366e-07;1.11001e-07
2.15332e+06;-1.30262e-07;-3.63778e-07
2.16064e+06;-3.10269e-07;7.34069e-08
2.16796e+06;2.35205e-07;3.7048e-07
2.17529e+06;-8.32217e-09;-3.35718e-07
2.18261e+06;6.91717e-08;1.94061e-07
2.18994e+06;-1.29263e-07;-2.75242e-07
2.19726e+06;-1.18264e-07;4.67723e-07
2.20459e+06;5.67135e-07;-2.39433e-07
2.21191e+06;-4.10658e-07;-1.62127e-07
2.21923e+06;2.35467e-07;1.11747e-07
2.22656e+06;-5.80053e-08;-3.75894e-07
2.23388e+06;-5.54712e-07;1.19496e-07
2.24121e+06;3.43437e-07;4.64384e-07
2.24853e+06;-1.2912e-07;-4.3511e-07
2.25585e+06;-2.04886e-08;7.51747e-07
2.26318e+06;8.09426e-07;-4.31339e-07
2.2705e+06;-5.34076e-07;-7.62914e-07
2.27783e+06;-5.9024e-07;7.51201e-07
2.28515e+06;6.11174e-07;-1.34749e-08
2.29248e+06;-2.21526e-07;5.15736e-09
2.2998e+06;3.39897e-07;-5.61455e-08
2.30712e+06;-4.60105e-07;-3.91966e-07
2.31445e+06;-5.75617e-08;8.54691e-07
2.32177e+06;5.17188e-07;-4.65353e-07
2.3291e+06;-2.53859e-07;3.38751e-07
2.33642e+06;5.91738e-07;-4.00057e-07
